Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
"GALCHENYUK, ALEX",Montreal,37,478:23:00,5,9,5,14,45,63,89,11.11,0.63,1.13,0.63,1.76,5.64,7.9,11.16,22.7,40.9,63.6
"GALLAGHER, BRENDAN",Montreal,40,480:21:00,5,9,7,14,97,128,175,5.15,0.62,1.12,0.87,1.75,12.12,15.99,21.86,26.3,47.4,73.7
"BRASSARD, DERICK",Ottawa,55,756:40:00,7,15,7,22,107,147,187,6.54,0.56,1.19,0.56,1.74,8.48,11.66,14.83,19.4,41.7,61.1
"GIONTA, BRIAN",Buffalo,58,758:24:00,10,12,8,22,92,129,152,10.87,0.79,0.95,0.63,1.74,7.28,10.21,12.03,38.5,46.2,84.6
"KANE, EVANDER",Buffalo,46,689:30:00,16,4,3,20,130,177,224,12.31,1.39,0.35,0.26,1.74,11.31,15.4,19.49,69.6,17.4,87
"FABBRI, ROBBY",St. Louis,51,655:25:00,6,13,10,19,72,98,127,8.33,0.55,1.19,0.92,1.74,6.59,8.97,11.63,24,52,76
"TATAR, TOMAS",Detroit,57,760:02:00,11,11,7,22,88,121,158,12.5,0.87,0.87,0.55,1.74,6.95,9.55,12.47,31.4,31.4,62.9
"STASTNY, PAUL",St. Louis,54,761:15:00,11,11,7,22,56,80,100,19.64,0.87,0.87,0.55,1.73,4.41,6.31,7.88,32.4,32.4,64.7
"CULLEN, MATT",Pittsburgh,51,520:16:00,6,9,6,15,44,63,80,13.64,0.69,1.04,0.69,1.73,5.07,7.27,9.23,30,45,75
"STAAL, ERIC",Minnesota,57,800:23:00,11,12,6,23,95,125,163,11.58,0.82,0.9,0.45,1.72,7.12,9.37,12.22,32.4,35.3,67.6
"COGLIANO, ANDREW",Anaheim,59,765:46:00,8,14,8,22,108,138,179,7.41,0.63,1.1,0.63,1.72,8.46,10.81,14.03,27.6,48.3,75.9
"AHO, SEBASTIAN",Carolina,53,697:13:00,11,9,4,20,109,148,181,10.09,0.95,0.77,0.34,1.72,9.38,12.74,15.58,39.3,32.1,71.4
"FAKSA, RADEK",Dallas,57,732:53:00,7,14,8,21,82,131,153,8.54,0.57,1.15,0.65,1.72,6.71,10.72,12.53,24.1,48.3,72.4
"RADULOV, ALEXANDER",Montreal,56,804:42:00,6,17,13,23,91,127,169,6.59,0.45,1.27,0.97,1.71,6.79,9.47,12.6,15.4,43.6,59
"KREJCI, DAVID",Boston,58,806:03:00,8,15,11,23,87,117,146,9.2,0.6,1.12,0.82,1.71,6.48,8.71,10.87,26.7,50,76.7
"GAGNER, SAM",Columbus,56,561:20:00,7,9,7,16,77,98,130,9.09,0.75,0.96,0.75,1.71,8.23,10.48,13.9,29.2,37.5,66.7
"BACKLUND, MIKAEL",Calgary,58,701:50:00,8,12,7,20,100,131,168,8,0.68,1.03,0.6,1.71,8.55,11.2,14.36,27.6,41.4,69
"DUBINSKY, BRANDON",Columbus,55,737:48:00,7,14,11,21,63,87,111,11.11,0.57,1.14,0.89,1.71,5.12,7.08,9.03,19.4,38.9,58.3
"STEMPNIAK, LEE",Carolina,53,709:24:00,7,13,5,20,71,103,141,9.86,0.59,1.1,0.42,1.69,6.01,8.71,11.93,25,46.4,71.4
"COPP, ANDREW",Winnipeg,46,462:38:00,7,5,4,12,44,58,75,15.91,0.91,0.65,0.52,1.56,5.71,7.52,9.73,36.8,26.3,63.2
"CLUTTERBUCK, CAL",NY Islanders,44,502:22:00,3,10,8,13,65,90,122,4.62,0.36,1.19,0.96,1.55,7.76,10.75,14.57,14.3,47.6,61.9
"PERRY, COREY",Anaheim,59,857:36:00,7,15,8,22,116,165,199,6.03,0.49,1.05,0.56,1.54,8.12,11.54,13.92,22.6,48.4,71
"ELLER, LARS",Washington,55,625:21:00,7,9,3,16,68,103,139,10.29,0.67,0.86,0.29,1.54,6.52,9.88,13.34,25.9,33.3,59.3
"MARTINOOK, JORDAN",Arizona,51,627:04:00,7,9,7,16,66,103,122,10.61,0.67,0.86,0.67,1.53,6.32,9.86,11.67,25.9,33.3,59.3
"HOSSA, MARIAN",Chicago,51,667:17:00,10,7,2,17,84,113,158,11.9,0.9,0.63,0.18,1.53,7.55,10.16,14.21,41.7,29.2,70.8
"BACKES, DAVID",Boston,50,670:53:00,8,9,5,17,99,132,153,8.08,0.72,0.8,0.45,1.52,8.85,11.81,13.68,28.6,32.1,60.7
"REINHART, SAM",Buffalo,58,790:17:00,4,16,12,20,82,106,137,4.88,0.3,1.21,0.91,1.52,6.23,8.05,10.4,14.3,57.1,71.4
"WHEELER, BLAKE",Winnipeg,60,870:35:00,11,11,6,22,133,171,207,8.27,0.76,0.76,0.41,1.52,9.17,11.79,14.27,34.4,34.4,68.8
"SCHALLER, TIM",Boston,51,554:15:00,7,7,6,14,74,112,135,9.46,0.76,0.76,0.65,1.52,8.01,12.12,14.61,38.9,38.9,77.8
"LANDESKOG, GABRIEL",Colorado,46,633:43:00,5,11,5,16,65,87,106,7.69,0.47,1.04,0.47,1.51,6.15,8.24,10.04,25,55,80
"MONAHAN, SEAN",Calgary,58,752:55:00,9,10,4,19,100,129,168,9,0.72,0.8,0.32,1.51,7.97,10.28,13.39,39.1,43.5,82.6
"HENRIQUE, ADAM",New Jersey,57,715:10:00,7,11,7,18,68,90,115,10.29,0.59,0.92,0.59,1.51,5.71,7.55,9.65,25,39.3,64.3
"VORACEK, JAKUB",Philadelphia,58,840:22:00,5,16,10,21,110,149,205,4.55,0.36,1.14,0.71,1.5,7.85,10.64,14.64,16.7,53.3,70
"GABORIK, MARIAN",Los Angeles,34,442:58:00,5,6,6,11,74,104,128,6.76,0.68,0.81,0.81,1.49,10.02,14.09,17.34,27.8,33.3,61.1
"KILLORN, ALEX",Tampa Bay,55,727:06:00,11,7,5,18,87,120,143,12.64,0.91,0.58,0.41,1.49,7.18,9.9,11.8,44,28,72
"BOEDKER, MIKKEL",San Jose,57,647:31:00,5,11,8,16,68,99,128,7.35,0.46,1.02,0.74,1.48,6.3,9.17,11.86,18.5,40.7,59.3
"O_REILLY, RYAN",Buffalo,48,729:13:00,8,10,6,18,97,128,154,8.25,0.66,0.82,0.49,1.48,7.98,10.53,12.67,29.6,37,66.7
"STROME, RYAN",NY Islanders,53,608:44:00,7,8,5,15,63,86,108,11.11,0.69,0.79,0.49,1.48,6.21,8.48,10.65,35,40,75
"SHAW, ANDREW",Montreal,44,527:40:00,5,8,3,13,71,92,119,7.04,0.57,0.91,0.34,1.48,8.07,10.46,13.53,25,40,65
"EAVES, PATRICK",Dallas,58,732:34:00,8,10,5,18,102,138,175,7.84,0.66,0.82,0.41,1.47,8.35,11.3,14.33,33.3,41.7,75
"JOHNSON, TYLER",Tampa Bay,54,692:48:00,9,8,3,17,63,103,126,14.29,0.78,0.69,0.26,1.47,5.46,8.92,10.91,34.6,30.8,65.4
"BURROWS, ALEX",Vancouver,51,652:12:00,7,9,5,16,97,124,154,7.22,0.64,0.83,0.46,1.47,8.92,11.41,14.17,29.2,37.5,66.7
"SPEZZA, JASON",Dallas,47,571:22:00,5,9,4,14,67,98,134,7.46,0.53,0.95,0.42,1.47,7.04,10.29,14.07,20.8,37.5,58.3
"NEAL, JAMES",Nashville,47,653:10:00,12,4,4,16,108,140,183,11.11,1.1,0.37,0.37,1.47,9.92,12.86,16.81,52.2,17.4,69.6
"HAGELIN, CARL",Pittsburgh,52,653:49:00,5,11,6,16,98,130,150,5.1,0.46,1.01,0.55,1.47,8.99,11.93,13.77,17.2,37.9,55.2
"HINOSTROZA, VINNIE",Chicago,46,531:22:00,6,7,4,13,67,88,117,8.96,0.68,0.79,0.45,1.47,7.57,9.94,13.21,35.3,41.2,76.5
"RITCHIE, BRETT",Dallas,57,613:14:00,9,6,3,15,105,146,189,8.57,0.88,0.59,0.29,1.47,10.27,14.28,18.49,34.6,23.1,57.7
"SEDIN, HENRIK",Vancouver,57,859:46:00,9,12,6,21,56,71,88,16.07,0.63,0.84,0.42,1.47,3.91,4.95,6.14,32.1,42.9,75
"JOHANSEN, RYAN",Nashville,56,780:21:00,4,15,8,19,80,117,146,5,0.31,1.15,0.62,1.46,6.15,9,11.23,12.5,46.9,59.4
"KOPITAR, ANZE",Los Angeles,50,742:54:00,5,13,8,18,70,108,132,7.14,0.4,1.05,0.65,1.45,5.65,8.72,10.66,20,52,72
"KARLSSON, MELKER",San Jose,51,536:47:00,6,7,2,13,47,68,90,12.77,0.67,0.78,0.22,1.45,5.25,7.6,10.06,31.6,36.8,68.4
"SKJEI, BRADY",NY Rangers,56,827:05:00,2,18,9,20,66,91,123,3.03,0.15,1.31,0.65,1.45,4.79,6.6,8.92,4.4,40,44.4
